aggregate_count_action::date	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count
2013-01-01	4199	2911	65
2013-01-02	4694	3261	111
2013-01-03	4624	3272	136
2013-01-04	5076	4675	111
2013-01-05	3326	2513	88
2013-01-06	3838	2634	114
2013-01-07	5535	3705	168
2013-01-08	6063	3763	172
2013-01-09	7111	3630	150
2013-01-10	7323	4442	132
2013-01-11	9256	5095	128
2013-01-12	4021	3176	101
2013-01-13	4210	2825	100
2013-01-14	5669	3636	158
2013-01-15	6757	3925	170
2013-01-16	5926	3886	150
2013-01-17	8083	7108	186
2013-01-18	5851	3695	135
2013-01-19	3601	2692	84
2013-01-20	4143	2909	108
2013-01-21	5642	4274	158
2013-01-22	6285	4661	187
2013-01-23	6515	4411	174
2013-01-24	5908	3895	165
2013-01-25	5415	3358	165
2013-01-26	6467	4921	110
2013-01-27	5123	3448	112
2013-01-28	6306	4481	161
2013-01-29	7333	4755	193
2013-01-30	6613	4333	185
2013-01-31	7070	4265	206
2013-02-01	5341	3501	129
2013-02-02	4733	3170	90
2013-02-03	5430	3143	146
2013-02-04	7908	4646	174
2013-02-05	6413	3984	177
2013-02-06	8627	6011	195
2013-02-07	8382	5216	182
2013-02-08	7421	4277	178
2013-02-09	4276	3044	103
2013-02-10	27521	3786	110
2013-02-11	6309	4022	175
2013-02-12	7519	4504	180
2013-02-13	7756	4428	188
2013-02-14	7105	4077	154
2013-02-15	8584	5410	160
2013-02-16	10508	6190	101
2013-02-17	8801	4297	244
2013-02-18	7013	4497	191
2013-02-19	7746	4870	223
2013-02-20	7209	4608	195
2013-02-21	7662	4553	216
2013-02-22	8099	4242	166
2013-02-23	4721	3060	141
2013-02-24	6027	3710	151
2013-02-25	7230	4717	190
2013-02-26	8125	4584	191
2013-02-27	7546	5904	220
2013-02-28	7605	4940	223
2013-03-01	7031	4083	187
2013-03-02	5398	3250	113
2013-03-03	6619	3300	141
2013-03-04	9401	4842	224
2013-03-05	7020	9728	176
2013-03-06	7263	4751	209
2013-03-07	8521	5188	177
2013-03-08	7551	4638	162
2013-03-09	4353	2927	107
2013-03-10	4728	3245	119
2013-03-11	7626	4671	212
2013-03-12	10414	6632	831
2013-03-13	6973	4410	211
2013-03-14	6840	4472	212
2013-03-15	6719	3909	193
2013-03-16	4964	3341	119
2013-03-17	5122	3359	139
2013-03-18	7437	4895	207
2013-03-19	7802	4735	245
2013-03-20	8153	4489	212
2013-03-21	7577	4633	211
2013-03-22	6087	4200	188
2013-03-23	4616	2834	138
2013-03-24	6349	3850	176
2013-03-25	7790	4918	207
2013-03-26	16363	10604	190
2013-03-27	15273	8344	196
2013-03-28	7589	4901	179
2013-03-29	5693	3886	186
2013-03-30	4291	2998	103
2013-03-31	4167	2523	104
2013-04-01	8410	3987	152
2013-04-02	7948	4887	230
2013-04-03	8432	4665	237
2013-04-04	7586	4877	219
2013-04-05	6714	4585	206
2013-04-06	6030	4406	126
2013-04-07	5487	3678	160
2013-04-08	7455	4802	215
2013-04-09	7676	4752	194
2013-04-10	7752	4839	225
2013-04-11	7204	4757	221
2013-04-12	7022	4564	158
2013-04-13	6299	3611	119
2013-04-14	4899	3247	139
2013-04-15	7482	4576	220
2013-04-16	8350	5069	198
2013-04-17	7277	5095	203
2013-04-18	10739	6261	201
2013-04-19	9466	5973	191
2013-04-20	4193	3079	130
2013-04-21	5947	3776	149
2013-04-22	11283	7596	214
2013-04-23	9230	5918	236
2013-04-24	11398	6948	229
2013-04-25	8509	5593	214
2013-04-26	7058	4736	165
2013-04-27	4082	2712	119
2013-04-28	5417	3460	119
2013-04-29	7090	4779	210
2013-04-30	6559	4427	187
2013-05-01	6477	4285	176
2013-05-02	6843	4698	220
2013-05-03	6006	4206	147
2013-05-04	5032	3715	101
2013-05-05	4760	3217	105
2013-05-06	7973	5106	207
2013-05-07	8254	5226	285
2013-05-08	8832	5382	196
2013-05-09	6696	4325	203
2013-05-10	6114	3838	208
2013-05-11	4303	2874	106
2013-05-12	4603	3159	133
2013-05-13	7442	5199	283
2013-05-14	7731	4828	185
2013-05-15	6812	4570	188
2013-05-16	7006	4676	183
2013-05-17	6158	3939	186
2013-05-18	4023	2864	115
2013-05-19	4491	3293	105
2013-05-20	7651	5444	178
2013-05-21	8624	5440	217
2013-05-22	9580	5487	213
2013-05-23	7511	4732	216
2013-05-24	9298	6586	193
2013-05-25	4059	2785	82
2013-05-26	6104	4663	129
2013-05-27	12008	5802	172
2013-05-28	9118	4640	224
2013-05-29	7480	5020	240
2013-05-30	7533	4519	183
2013-05-31	6100	4143	167
2013-06-01	4530	3167	141
2013-06-02	4361	3198	121
2013-06-03	7304	4949	202
2013-06-04	7680	5114	174
2013-06-05	7560	4604	202
2013-06-06	7876	5023	219
2013-06-07	6533	3967	139
2013-06-08	5649	2754	76
2013-06-09	6194	3248	132
2013-06-10	8982	4548	212
2013-06-11	8767	4378	197
2013-06-12	8914	4749	199
2013-06-13	10658	6405	343
2013-06-14	8152	3955	145
2013-06-15	5734	2598	79
2013-06-16	5975	2857	100
2013-06-17	8789	4572	185
2013-06-18	9659	4664	170
2013-06-19	9994	4870	203
2013-06-20	10891	5360	189
2013-06-21	8315	4158	157
2013-06-22	4727	2882	101
2013-06-23	4715	3153	135
2013-06-24	8257	4586	210
2013-06-25	8008	7971	197
2013-06-26	7543	4696	193
2013-06-27	12705	7332	186
2013-06-28	6705	4417	267
2013-06-29	3936	2878	78
2013-06-30	4679	3124	108
2013-07-01	6856	4703	225
2013-07-02	7722	4688	190
2013-07-03	7427	4683	180
2013-07-04	6614	3787	161
2013-07-05	9496	5823	172
2013-07-06	4130	2884	73
2013-07-07	4883	3020	128
2013-07-08	8208	4974	204
2013-07-09	7812	5085	207
2013-07-10	7604	4655	218
2013-07-11	7832	4929	226
2013-07-12	6841	4408	152
2013-07-13	3903	2398	74
2013-07-14	5333	3142	88
2013-07-15	8915	5212	175
2013-07-16	7582	4928	227
2013-07-17	8323	5357	218
2013-07-18	7634	4772	207
2013-07-19	6774	4235	152
2013-07-20	4017	2700	73
2013-07-21	5062	3235	123
2013-07-22	7985	4755	198
2013-07-23	8358	5145	245
2013-07-24	8660	4869	226
2013-07-25	8254	4815	232
2013-07-26	6955	4490	192
2013-07-27	4922	3082	92
2013-07-28	5383	3686	142
2013-07-29	7864	5126	215
2013-07-30	9426	5140	248
2013-07-31	8215	5215	230
2013-08-01	7810	4888	210
2013-08-02	7079	4791	174
2013-08-03	3795	2636	94
2013-08-04	4461	3354	101
2013-08-05	7596	5206	203
2013-08-06	8274	5668	197
2013-08-07	9110	5160	216
2013-08-08	8740	4985	221
2013-08-09	7356	4417	184
2013-08-10	4309	2941	87
2013-08-11	4723	3203	120
2013-08-12	8058	5074	205
2013-08-13	7797	5128	235
2013-08-14	7949	4988	217
2013-08-15	6917	4394	189
2013-08-16	8292	5863	200
2013-08-17	4395	3082	97
2013-08-18	5545	3587	140
2013-08-19	8413	5470	213
2013-08-20	8583	4998	209
2013-08-21	9245	5593	190
2013-08-22	10239	6477	244
2013-08-23	7334	4699	179
2013-08-24	4529	2985	112
2013-08-25	4860	3331	127
2013-08-26	8951	5687	230
2013-08-27	9252	5347	169
2013-08-28	8615	5310	248
2013-08-29	8272	4813	232
2013-08-30	6870	5243	187
2013-08-31	4257	2789	101
2013-09-01	5018	3156	196
2013-09-02	7260	4649	172
2013-09-03	9178	5482	241
2013-09-04	9802	5911	231
2013-09-05	9713	5426	215
2013-09-06	6814	4358	171
2013-09-07	6940	3741	96
2013-09-08	6626	8051	101
2013-09-09	9568	17832	193
2013-09-10	8653	4834	238
2013-09-11	9619	5480	283
2013-09-12	10620	5379	234
2013-09-13	7451	4468	173
2013-09-14	8057	4462	126
2013-09-15	5987	4372	108
2013-09-16	10302	7148	205
2013-09-17	9334	5626	196
2013-09-18	8193	4907	218
2013-09-19	7222	4126	198
2013-09-20	8300	4974	192
2013-09-21	5278	3191	93
2013-09-22	5383	3377	149
2013-09-23	8971	5248	207
2013-09-24	11395	6634	276
2013-09-25	8646	5049	280
2013-09-26	9503	5014	250
2013-09-27	9843	5265	220
2013-09-28	4890	3142	128
2013-09-29	6004	3671	161
2013-09-30	11485	8298	265
2013-10-01	8912	8060	274
2013-10-02	9189	5109	263
2013-10-03	7920	4892	244
2013-10-04	7692	4909	277
2013-10-05	4369	3061	150
2013-10-06	4940	3341	152
2013-10-07	8818	5696	272
2013-10-08	8685	5567	341
2013-10-09	8918	5207	295
2013-10-10	8733	9945	306
2013-10-11	7851	11258	255
2013-10-12	4517	3065	158
2013-10-13	4982	3663	135
2013-10-14	8287	5555	277
2013-10-15	8607	5567	310
2013-10-16	9619	6285	389
2013-10-17	12299	8336	350
2013-10-18	8041	5381	305
2013-10-19	4954	3594	155
2013-10-20	6312	4258	175
2013-10-21	8967	5583	350
2013-10-22	9716	5656	304
2013-10-23	10846	6615	335
2013-10-24	8560	11012	259
2013-10-25	7771	5413	269
2013-10-26	5404	3616	154
2013-10-27	6268	3905	187
2013-10-28	9735	5909	303
2013-10-29	9655	5945	351
2013-10-30	13266	9347	325
2013-10-31	10500	6587	271
2013-11-01	9603	5743	218
2013-11-02	6273	3978	149
2013-11-03	6070	3995	236
2013-11-04	9816	6585	316
2013-11-05	11858	7427	366
2013-11-06	11219	7029	325
2013-11-07	9761	6101	369
2013-11-08	8625	5111	272
2013-11-09	6574	4569	168
2013-11-10	11491	8185	221
2013-11-11	10717	7053	300
2013-11-12	9686	12815	351
2013-11-13	10743	7924	321
2013-11-14	11137	5455	324
2013-11-15	8153	5057	331
2013-11-16	5774	3702	154
2013-11-17	8228	5012	185
2013-11-18	11759	6938	344
2013-11-19	19970	12781	343
2013-11-20	12158	6884	348
2013-11-21	11697	6802	375
2013-11-22	11679	5412	305
2013-11-23	5254	3424	150
2013-11-24	6561	4448	180
2013-11-25	11974	7774	309
2013-11-26	12772	8655	317
2013-11-27	11291	6836	353
2013-11-28	7869	4849	249
2013-11-29	6846	4829	230
2013-11-30	5168	3527	146
2013-12-01	6171	4085	183
2013-12-02	9771	6118	334
2013-12-03	10554	6338	320
2013-12-04	10557	6367	320
2013-12-05	11182	6597	385
2013-12-06	9909	6858	328
2013-12-07	6075	4249	205
2013-12-08	7275	4683	352
2013-12-09	11077	6738	352
2013-12-10	10918	6816	367
2013-12-11	10827	6503	310
2013-12-12	11316	6977	330
2013-12-13	8475	5073	265
2013-12-14	7162	5328	183
2013-12-15	7032	4738	202
2013-12-16	11389	6296	358
2013-12-17	10342	6745	325
2013-12-18	9714	6046	331
2013-12-19	11596	8620	277
2013-12-20	8738	6048	222
2013-12-21	4995	3313	155
2013-12-22	6505	4892	170
2013-12-23	6792	4617	206
2013-12-24	5231	3375	134
2013-12-25	4307	2715	143
2013-12-26	7254	4062	193
2013-12-27	7185	5154	175
2013-12-28	5002	3573	135
2013-12-29	7480	4886	143
2013-12-30	7563	5549	188
2013-12-31	5144	3567	140
